iter	Passed	Remaining
0	4	421
1	8	408
2	11	383
3	14	357
4	18	353
5	22	352
6	26	346
7	29	344
8	33	338
9	37	337
10	41	332
11	42	312
12	44	294
13	45	279
14	46	266
15	48	253
16	49	243
17	51	234
18	52	225
19	54	217
20	56	211
21	57	204
22	59	199
23	61	194
24	63	189
25	64	184
26	66	178
27	67	173
28	69	169
29	70	164
30	71	159
31	72	154
32	74	150
33	75	145
34	76	141
35	77	136
36	78	132
37	79	129
38	80	125
39	81	121
40	82	118
41	82	114
42	83	110
43	84	107
44	85	104
45	86	101
46	87	98
47	88	95
48	89	93
49	90	90
50	91	87
51	92	85
52	93	82
53	94	80
54	94	77
55	95	75
56	96	73
57	98	71
58	99	69
59	101	67
60	102	65
61	103	63
62	104	61
63	105	59
64	106	57
65	107	55
66	108	53
67	109	51
68	110	49
69	111	47
70	112	46
71	113	44
72	114	42
73	115	40
74	116	38
75	117	37
76	118	35
77	119	33
78	120	32
79	121	30
80	122	28
81	123	27
82	125	25
83	126	24
84	127	22
85	128	20
86	130	19
87	131	17
88	132	16
89	133	14
90	134	13
91	135	11
92	136	10
93	137	8
94	139	7
95	140	5
96	141	4
97	142	2
98	143	1
99	144	0
